BOARD;CHANNEL;TIMETAG;ENERGY;ENERGYSHORT;FLAGS
0;0;78718488000;857;482;0x0
0;0;87966816000;352;205;0x0
0;0;160015220000;3;10;0x0
0;0;160016552000;132;46;0x0
0;0;160017476000;66;51;0x0
0;0;160021980000;69;9;0x0
0;0;160022556000;18;4095;0x80
0;0;160028244000;4095;12;0x80
0;0;160037268000;10;22;0x0
0;0;168947452000;65;39;0x0
0;0;180377504000;4095;4095;0x80
0;0;184452352000;115;68;0x0
0;0;237059232000;38;24;0x0
0;0;287466676000;268;160;0x0
0;0;290259892000;73;47;0x0
0;0;301320140000;279;163;0x0
0;0;329303040000;41;25;0x0
0;0;335988432000;44;28;0x0
0;0;336019692000;38;25;0x0
0;0;336036436000;52;32;0x0
0;0;336295108000;39;26;0x0
0;0;336326796000;38;25;0x0
0;0;336366164000;38;25;0x0
0;0;336409268000;39;26;0x0
0;0;336435496000;35;24;0x0
0;0;336442112000;50;32;0x0
0;0;336453956000;39;25;0x0
0;0;336473104000;35;24;0x0
0;0;336539860000;51;33;0x0
0;0;336541908000;58;36;0x0
0;0;336566136000;56;35;0x0
0;0;336674292000;39;25;0x0
0;0;336683904000;59;36;0x0
0;0;336691876000;49;30;0x0
0;0;336706536000;40;25;0x0
0;0;336715452000;59;38;0x0
0;0;336716164000;42;26;0x0
0;0;336718284000;55;35;0x0
0;0;336719708000;49;31;0x0
0;0;336721796000;47;31;0x0
0;0;336724764000;49;30;0x0
0;0;336763432000;79;50;0x0
0;0;336764616000;43;28;0x0
0;0;336771192000;84;50;0x0
0;0;336778268000;54;36;0x0
0;0;336782816000;48;28;0x0
0;0;336832196000;49;31;0x0
0;0;336836136000;50;30;0x0
0;0;336863856000;45;28;0x0
0;0;336893156000;106;26;0x0
0;0;336898116000;38;25;0x0
0;0;336900484000;46;29;0x0
0;0;336901616000;55;36;0x0
0;0;336904768000;41;26;0x0
0;0;336934008000;55;35;0x0
0;0;336935500000;86;52;0x0
0;0;336937516000;88;52;0x0
0;0;336943824000;66;40;0x0
0;0;336973740000;44;27;0x0
0;0;336990672000;49;31;0x0
0;0;337002624000;60;38;0x0
0;0;337009040000;44;29;0x0
0;0;337029272000;49;32;0x0
0;0;337032804000;89;53;0x0
0;0;337046440000;58;37;0x0
0;0;337050828000;91;56;0x0
0;0;337052772000;41;25;0x0
0;0;337056220000;52;33;0x0
0;0;337057948000;60;36;0x0
0;0;337060508000;67;37;0x0
0;0;337062880000;70;33;0x0
0;0;337063408000;78;49;0x0
0;0;337064040000;6;16;0x0
0;0;337065048000;53;36;0x0
0;0;337066876000;52;34;0x0
0;0;337075684000;52;32;0x0
0;0;337111388000;55;35;0x0
0;0;337114260000;45;28;0x0
0;0;337116476000;42;29;0x0
0;0;337117952000;120;43;0x0
0;0;337119372000;40;27;0x0
0;0;337120516000;49;31;0x0
0;0;337123352000;54;33;0x0
0;0;337126968000;40;30;0x0
0;0;337133880000;75;50;0x0
0;0;337135816000;98;58;0x0
0;0;337147776000;69;41;0x0
0;0;337156768000;39;26;0x0
0;0;337157928000;55;34;0x0
0;0;337162068000;52;31;0x0
0;0;337163264000;83;24;0x0
0;0;337164212000;84;52;0x0
0;0;337165440000;94;31;0x0
0;0;337169032000;57;36;0x0
0;0;337170728000;62;38;0x0
0;0;337177548000;54;33;0x0
0;0;337180052000;53;34;0x0
0;0;337182720000;61;39;0x0
